Number of nodes 487 
   388 : -1.2456044e+00 -2.6034863e+00 
   389 :  2.1477226e+00 -2.3932831e+00 
   390 :  1.6942843e+00 -2.3788954e+00 
   391 :  1.5436523e+00 -2.4631208e+00 
   392 :  1.3641793e+00 -2.5560229e+00 
   393 :  2.0086278e+00 -2.0631060e+00 
   394 : -2.3304118e+00  1.7831623e+00 
   395 :  2.3304118e+00  1.7831623e+00 
   396 :  1.8875970e+00 -2.2159323e+00 
   397 :  1.1592491e+00 -2.6420172e+00 
   398 :  1.3229725e+00 -2.7689097e+00 
   399 :  2.7325129e+00  8.8098388e-01 
   400 : -2.7542546e+00  8.6241124e-01 
   401 : -3.5658065e+01  3.0984742e+00 
   402 :  3.5658065e+01  3.0984742e+00 
   403 : -8.6538192e-01 -2.7500563e+00 
   404 :  9.0363802e-01 -2.7745580e+00 
   405 : -3.5608478e+01  2.9944118e+00 
   406 :  3.5608478e+01  2.9944118e+00 
   407 : -3.5707837e+01  3.1950685e+00 
   408 :  3.5707837e+01  3.1950685e+00 
   409 :  1.5447778e+00 -2.6628982e+00 
   410 : -3.5753757e+01  3.2926043e+00 
   411 :  3.5753757e+01  3.2926043e+00 
   412 : -3.5545558e+01  2.9151929e+00 
   413 :  3.5545558e+01  2.9151929e+00 
   414 : -1.0567002e+00 -2.6857134e+00 
   415 :  2.8855845e+00 -1.6004052e-01 
   416 : -2.8852249e+00 -1.5966350e-01 
   417 :  3.5778939e+01  3.3946661e+00 
   418 : -3.5778939e+01  3.3946661e+00 
   419 :  2.8882427e+00 -5.2096837e-02 
   420 : -2.8881828e+00 -5.2043081e-02 
   421 : -2.8877243e+00  5.2070449e-02 
   422 :  2.8877343e+00  5.2061489e-02 
   423 :  1.6903650e+00 -2.5798956e+00 
   424 :  1.8730807e+00 -2.4410387e+00 
   425 :  2.8306611e+00  5.6305350e-01 
   426 : -2.8306611e+00  5.6305350e-01 
   427 :  3.5797826e+01  3.4961894e+00 
   428 : -3.5797826e+01  3.4961894e+00 
   429 :  2.8827929e+00  1.6331245e-01 
   430 : -2.8827913e+00  1.6331395e-01 
   431 : -1.4244596e+00 -2.7303512e+00 
   432 : -1.6021255e+00 -2.6151017e+00 
   433 : -1.8034239e+00 -2.5181276e+00 
   434 : -1.9226297e+00 -2.3085408e+00 
   435 :  3.5809719e+01  3.5978487e+00 
   436 : -3.5809719e+01  3.5978487e+00 
   437 : -3.5817364e+01  3.6996075e+00 
   438 :  3.5817364e+01  3.6996075e+00 
   439 : -2.0042938e+00 -2.0817409e+00 
   440 : -2.8640711e+00  3.5747838e-01 
   441 :  2.8640711e+00  3.5747838e-01 
   442 :  3.5822223e+01  3.8027150e+00 
   443 : -3.5822223e+01  3.8027150e+00 
   444 : -2.8636167e+00 -3.5968186e-01 
   445 :  2.8636167e+00 -3.5968186e-01 
   446 :  2.8612011e+00 -2.5281043e-01 
   447 : -2.8611292e+00 -2.5275311e-01 
   448 :  3.5825170e+01  3.9025804e+00 
   449 : -3.5825170e+01  3.9025804e+00 
   450 :  3.5827357e+01  4.0019259e+00 
   451 : -3.5827357e+01  4.0019259e+00 
   452 :  1.0440621e+00 -2.7953777e+00 
   453 :  1.7779705e+00 -2.2915156e+00 
   454 :  3.5829601e+01  4.1009608e+00 
   455 : -3.5829601e+01  4.1009608e+00 
   456 : -2.6987391e+00  9.6189781e-01 
   457 :  9.7342777e-01 -2.7071642e+00 
   458 :  1.0453505e+00 -2.6709762e+00 
   459 : -3.5832534e+01  4.1998788e+00 
   460 :  3.5832534e+01  4.1998788e+00 
   461 : -2.8584446e+00  2.5619315e-01 
   462 :  2.8584450e+00  2.5619285e-01 
   463 : -1.8341590e+00 -2.2167174e+00 
   464 : -3.5836508e+01  4.2986765e+00 
   465 :  3.5836508e+01  4.2986765e+00 
   466 :  3.5610252e+01  2.9170377e+00 
   467 : -3.5610252e+01  2.9170377e+00 
   468 : -4.5047668e-01 -2.8356659e+00 
   469 :  2.7636459e+00  7.5452886e-01 
   470 :  2.7855714e+00  6.7070791e-01 
   471 : -2.7701401e+00  7.5132142e-01 
   472 : -2.7868702e+00  6.7006642e-01 
   473 : -3.5778459e+01  3.2060312e+00 
   474 :  3.5778459e+01  3.2060312e+00 
   475 :  2.8329584e+00  4.5679901e-01 
   476 : -2.8329584e+00  4.5679901e-01 
   477 :  3.5843084e+01  4.3984432e+00 
   478 : -3.5843084e+01  4.3984432e+00 
   479 : -3.5687856e+01  3.0209571e+00 
   480 :  3.5687856e+01  3.0209571e+00 
   481 :  3.5743115e+01  3.1258049e+00 
   482 : -3.5743115e+01  3.1258049e+00 
   483 : -3.5855286e+01  4.5833897e+00 
   484 :  3.5855286e+01  4.5833897e+00 
   485 :  3.5853575e+01  4.4968486e+00 
   486 : -3.5853575e+01  4.4968486e+00 
Number of edges 381 
     0 :      0     18 
     1 :     18     19 
     2 :     19     20 
     3 :     20     21 
     4 :     21     22 
     5 :     22     23 
     6 :     23     24 
     7 :     24     25 
     8 :     25     26 
     9 :     26      2 
    10 :      2     27 
    11 :     27     28 
    12 :     28     29 
    13 :     29     30 
    14 :     30     31 
    15 :     31     32 
    16 :     32     33 
    17 :     33     34 
    18 :     34     35 
    19 :     35     36 
    20 :     36     37 
    21 :     37     38 
    22 :     38     39 
    23 :     39     40 
    24 :     40     41 
    25 :     41     42 
    26 :     42     43 
    27 :     43     44 
    28 :     44     45 
    29 :     45     46 
    30 :     46     47 
    31 :     47     48 
    32 :     48     49 
    33 :     49     50 
    34 :     50     51 
    35 :     51     52 
    36 :     52     53 
    37 :     53     54 
    38 :     54     55 
    39 :     55     56 
    40 :     56     57 
    41 :     57     58 
    42 :     58     59 
    43 :     59     60 
    44 :     60     61 
    45 :     61     62 
    46 :     62     63 
    47 :     63     64 
    48 :     64     65 
    49 :     65     66 
    50 :     66     67 
    51 :     67     68 
    52 :     68      3 
    53 :      1     69 
    54 :     69     70 
    55 :     70     71 
    56 :     71     72 
    57 :     72     73 
    58 :     73     74 
    59 :     74     75 
    60 :     75     76 
    61 :     76     77 
    62 :     77      3 
    63 :      4     78 
    64 :     78     79 
    65 :     79     80 
    66 :     80     81 
    67 :     81     82 
    68 :     82     83 
    69 :     83     84 
    70 :     84     85 
    71 :     85     86 
    72 :     86      6 
    73 :      6     87 
    74 :     87     88 
    75 :     88     89 
    76 :     89     90 
    77 :     90     91 
    78 :     91     92 
    79 :     92     93 
    80 :     93     94 
    81 :     94     95 
    82 :     95     96 
    83 :     96     97 
    84 :     97     98 
    85 :     98     99 
    86 :     99    100 
